Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
1995 to 2000,275,10-14,26,13,13,29,15,14,
1995 to 2000,275,15-19,16,8,8,31,15,16,
1995 to 2000,275,20-24,21,12,9,35,19,16,
1995 to 2000,275,25-29,21,12,9,25,15,10,
1995 to 2000,275,30-34,20,10,10,29,15,14,
1995 to 2000,275,35-39,23,13,10,31,16,15,
1995 to 2000,275,40-44,20,11,9,24,14,10,
1995 to 2000,275,45-49,18,9,9,28,15,13,
1995 to 2000,275,50-54,13,9,4,17,9,8,
1995 to 2000,275,55-59,10,7,3,14,9,5,
1995 to 2000,275,60-64,7,4,3,8,4,4,
1995 to 2000,275,65-69,3,2,1,3,3,0,
1995 to 2000,275,70-74,3,2,1,6,3,3,
1995 to 2000,275,75-79,2,1,1,3,0,3,
1995 to 2000,275,80-84,2,1,1,1,0,1,
1995 to 2000,275,85-89,1,0,1,0,0,0,
1995 to 2000,275,90+,0,0,0,1,1,0,
1995 to 2000,282,Total,102,63,39,102,59,43,
1995 to 2000,282,0-4,6,2,4,7,4,3,
1995 to 2000,282,5-9,9,5,4,10,6,4,
1995 to 2000,282,10-14,7,4,3,7,3,4,
1995 to 2000,282,15-19,5,3,2,8,5,3,
1995 to 2000,282,20-24,11,7,4,10,6,4,
1995 to 2000,282,25-29,9,5,4,12,7,5,
1995 to 2000,282,30-34,11,7,4,9,5,4,
1995 to 2000,282,35-39,12,9,3,8,5,3,
1995 to 2000,282,40-44,13,8,5,12,7,5,
1995 to 2000,282,45-49,8,5,3,7,4,3,
1995 to 2000,282,50-54,5,3,2,5,3,2,
1995 to 2000,282,55-59,3,2,1,3,2,1,
1995 to 2000,282,60-64,1,1,0,1,1,0,
1995 to 2000,282,65-69,1,1,0,2,1,1,
1995 to 2000,282,70-74,1,1,0,0,0,0,
1995 to 2000,282,75-79,0,0,0,0,0,0,
1995 to 2000,282,80-84,0,0,0,0,0,0,
1995 to 2000,282,85-89,0,0,0,1,0,1,
1995 to 2000,282,90+,0,0,0,0,0,0,
1995 to 2000,290,Total,708,393,315,745,405,340,
1995 to 2000,290,0-4,69,33,36,67,36,31,
1995 to 2000,290,5-9,64,32,32,65,31,34,
1995 to 2000,290,10-14,53,26,27,58,31,27,
1995 to 2000,290,15-19,48,26,22,70,34,36,
1995 to 2000,290,20-24,57,33,24,81,44,37,
1995 to 2000,290,25-29,64,36,28,62,33,29,
1995 to 2000,290,30-34,67,39,28,63,36,27,
1995 to 2000,290,35-39,67,36,31,63,36,27,
1995 to 2000,290,40-44,60,38,22,53,32,21,
1995 to 2000,290,45-49,53,31,22,55,33,22,
1995 to 2000,290,50-54,39,23,16,39,22,17,
1995 to 2000,290,55-59,23,14,9,23,15,8,
1995 to 2000,290,60-64,17,10,7,21,11,10,
1995 to 2000,290,65-69,12,9,3,9,5,4,
1995 to 2000,290,70-74,5,3,2,7,4,3,
1995 to 2000,290,75-79,4,2,2,3,1,2,
1995 to 2000,290,80-84,3,1,2,4,1,3,
1995 to 2000,290,85-89,1,0,1,1,0,1,
1995 to 2000,290,90+,2,1,1,1,0,1,
1990 to 1995,000,Total,44967,24487,20480,44175,24203,19972,
1990 to 1995,000,0-4,4812,2491,2321,4774,2452,2322,
1990 to 1995,000,5-9,3837,2002,1835,3723,1928,1795,
1990 to 1995,000,10-14,3173,1684,1489,3030,1590,1440,
1990 to 1995,000,15-19,2786,1440,1346,3066,1596,1470,
1990 to 1995,000,20-24,5665,3028,2637,5069,2742,2327,
1990 to 1995,000,25-29,6394,3553,2841,5027,2781,2246,
1990 to 1995,000,30-34,5671,3189,2482,4982,2827,2155,
1990 to 1995,000,35-39,4400,2510,1890,4348,2503,1845,
1990 to 1995,000,40-44,3060,1783,1277,3266,1896,1370,
1990 to 1995,000,45-49,1897,1081,816,2259,1310,949,
1990 to 1995,000,50-54,1211,681,530,1625,915,710,
1990 to 1995,000,55-59,720,409,311,1179,675,504,
1990 to 1995,000,60-64,483,264,219,826,474,352,
1990 to 1995,000,65-69,347,175,172,438,242,196,
1990 to 1995,000,70-74,203,91,112,251,130,121,
1990 to 1995,000,75-79,135,52,83,160,75,85,
1990 to 1995,000,80-84,92,29,63,77,33,44,
1990 to 1995,000,85-89,54,16,38,48,24,24,
1990 to 1995,000,90+,27,9,18,27,10,17,
1990 to 1995,013,Total,222,132,90,279,166,113,
1990 to 1995,013,0-4,21,11,10,21,12,9,
1990 to 1995,013,5-9,17,8,9,22,10,12,
1990 to 1995,013,10-14,12,8,4,19,12,7,
1990 to 1995,013,15-19,12,6,6,19,9,10,
1990 to 1995,013,20-24,20,14,6,28,19,9,
1990 to 1995,013,25-29,32,19,13,31,19,12,
1990 to 1995,013,30-34,27,18,9,35,23,12,
1990 to 1995,013,35-39,23,15,8,32,19,13,
1990 to 1995,013,40-44,21,13,8,29,19,10,
1990 to 1995,013,45-49,18,9,9,16,10,6,
1990 to 1995,013,50-54,8,4,4,12,6,6,
1990 to 1995,013,55-59,7,4,3,6,3,3,
1990 to 1995,013,60-64,4,3,1,7,4,3,
1990 to 1995,013,65-69,0,0,0,2,1,1,
1990 to 1995,013,70-74,0,0,0,0,0,0,
1990 to 1995,013,75-79,0,0,0,0,0,0,
1990 to 1995,013,80-84,0,0,0,0,0,0,
1990 to 1995,013,85-89,0,0,0,0,0,0,
1990 to 1995,013,90+,0,0,0,0,0,0,
1990 to 1995,016,Total,732,435,297,1615,947,668,
1990 to 1995,016,0-4,60,34,26,137,70,67,
1990 to 1995,016,5-9,49,28,21,111,61,50,
1990 to 1995,016,10-14,41,18,23,88,41,47,
1990 to 1995,016,15-19,33,18,15,88,44,44,
1990 to 1995,016,20-24,61,31,30,100,50,50,
1990 to 1995,016,25-29,109,65,44,193,117,76,
1990 to 1995,016,30-34,105,65,40,225,143,82,
1990 to 1995,016,35-39,92,63,29,219,146,73,
1990 to 1995,016,40-44,74,45,29,163,99,64,
1990 to 1995,016,45-49,50,31,19,114,70,44,
1990 to 1995,016,50-54,31,21,10,79,47,32,
1990 to 1995,016,55-59,15,9,6,44,29,15,
1990 to 1995,016,60-64,8,5,3,27,18,9,
1990 to 1995,016,65-69,2,1,1,12,6,6,
1990 to 1995,016,70-74,1,1,0,6,3,3,
1990 to 1995,016,75-79,1,0,1,3,3,0,
1990 to 1995,016,80-84,0,0,0,6,0,6,
1990 to 1995,016,85-89,0,0,0,0,0,0,
1990 to 1995,016,90+,0,0,0,0,0,0,
1990 to 1995,020,Total,28011,14855,13156,27025,14458,12567,
1990 to 1995,020,0-4,3179,1629,1550,3060,1556,1504,
1990 to 1995,020,5-9,2502,1272,1230,2367,1214,1153,
1990 to 1995,020,10-14,1958,1030,928,1856,970,886,
1990 to 1995,020,15-19,1681,839,842,1654,864,790,
1990 to 1995,020,20-24,3232,1662,1570,2961,1548,1413,
1990 to 1995,020,25-29,3871,2083,1788,3181,1677,1504,
1990 to 1995,020,30-34,3536,1922,1614,3191,1747,1444,
1990 to 1995,020,35-39,2768,1528,1240,2694,1516,1178,
1990 to 1995,020,40-44,1958,1110,848,2009,1137,872,
1990 to 1995,020,45-49,1230,694,536,1357,767,590,
1990 to 1995,020,50-54,789,429,360,981,542,439,
1990 to 1995,020,55-59,449,257,192,696,386,310,
1990 to 1995,020,60-64,297,157,140,470,262,208,
1990 to 1995,020,65-69,212,104,108,247,134,113,
1990 to 1995,020,70-74,138,64,74,139,68,71,
1990 to 1995,020,75-79,94,36,58,92,42,50,
1990 to 1995,020,80-84,62,23,39,38,16,22,
1990 to 1995,020,85-89,36,10,26,24,10,14,
1990 to 1995,020,90+,19,6,13,8,2,6,
1990 to 1995,050,Total,1035,557,478,1077,578,499,
1990 to 1995,050,0-4,149,75,74,165,81,84,
1990 to 1995,050,5-9,97,47,50,97,49,48,
1990 to 1995,050,10-14,72,33,39,77,38,39,
1990 to 1995,050,15-19,59,29,30,66,37,29,
1990 to 1995,050,20-24,107,58,49,113,57,56,
1990 to 1995,050,25-29,138,78,60,119,63,56,
1990 to 1995,050,30-34,124,75,49,119,65,54,
1990 to 1995,050,35-39,92,54,38,96,60,36,
1990 to 1995,050,40-44,65,36,29,62,36,26,
1990 to 1995,050,45-49,45,26,19,50,31,19,
1990 to 1995,050,50-54,31,16,15,36,18,18,
1990 to 1995,050,55-59,21,11,10,24,13,11,
1990 to 1995,050,60-64,10,5,5,19,11,8,
1990 to 1995,050,65-69,8,5,3,11,7,4,
1990 to 1995,050,70-74,6,3,3,8,4,4,
1990 to 1995,050,75-79,6,3,3,8,4,4,
1990 to 1995,050,80-84,2,1,1,3,1,2,
1990 to 1995,050,85-89,2,1,1,2,2,0,
1990 to 1995,050,90+,1,1,0,2,1,1,
1990 to 1995,060,Total,179,97,82,240,127,113,
1990 to 1995,060,0-4,23,14,9,24,11,13,
1990 to 1995,060,5-9,17,9,8,18,10,8,
1990 to 1995,060,10-14,13,5,8,18,8,10,
1990 to 1995,060,15-19,10,4,6,18,10,8,
1990 to 1995,060,20-24,15,6,9,24,11,13,
1990 to 1995,060,25-29,20,10,10,22,11,11,
1990 to 1995,060,30-34,24,14,10,24,13,11,
1990 to 1995,060,35-39,17,9,8,21,11,10,
1990 to 1995,060,40-44,16,10,6,21,13,8,
1990 to 1995,060,45-49,12,8,4,18,11,7,
1990 to 1995,060,50-54,9,6,3,13,8,5,
1990 to 1995,060,55-59,2,1,1,10,5,5,
1990 to 1995,060,60-64,1,1,0,5,3,2,
1990 to 1995,060,65-69,0,0,0,4,2,2,
1990 to 1995,060,70-74,0,0,0,0,0,0,
1990 to 1995,060,75-79,0,0,0,0,0,0,
1990 to 1995,060,80-84,0,0,0,0,0,0,
1990 to 1995,060,85-89,0,0,0,0,0,0,
1990 to 1995,060,90+,0,0,0,0,0,0,
1990 to 1995,063,Total,1072,594,478,1097,611,486,
1990 to 1995,063,0-4,91,48,43,91,52,39,
1990 to 1995,063,5-9,85,45,40,78,44,34,
1990 to 1995,063,10-14,76,38,38,71,34,37,
1990 to 1995,063,15-19,68,35,33,87,42,45,
1990 to 1995,063,20-24,99,50,49,110,60,50,
1990 to 1995,063,25-29,122,69,53,113,64,49,
1990 to 1995,063,30-34,133,74,59,120,71,49,
1990 to 1995,063,35-39,129,77,52,128,74,54,
1990 to 1995,063,40-44,97,57,40,95,55,40,
1990 to 1995,063,45-49,74,45,29,66,38,28,
1990 to 1995,063,50-54,44,26,18,49,29,20,
1990 to 1995,063,55-59,25,14,11,38,19,19,
1990 to 1995,063,60-64,12,8,4,23,14,9,
1990 to 1995,063,65-69,7,4,3,12,8,4,
1990 to 1995,063,70-74,4,1,3,9,5,4,
1990 to 1995,063,75-79,2,1,1,5,1,4,
1990 to 1995,063,80-84,2,1,1,2,1,1,
1990 to 1995,063,85-89,2,1,1,0,0,0,
1990 to 1995,063,90+,0,0,0,0,0,0,
1990 to 1995,066,Total,471,258,213,453,252,201,
1990 to 1995,066,0-4,56,31,25,39,12,27,
1990 to 1995,066,5-9,46,23,23,41,22,19,
1990 to 1995,066,10-14,28,15,13,30,18,12,
1990 to 1995,066,15-19,26,10,16,36,19,17,
1990 to 1995,066,20-24,43,23,20,56,32,24,
1990 to 1995,066,25-29,52,28,24,45,26,19,
1990 to 1995,066,30-34,47,26,21,41,26,15,
1990 to 1995,066,35-39,40,24,16,42,24,18,
1990 to 1995,066,40-44,40,25,15,33,18,15,
1990 to 1995,066,45-49,35,20,15,31,19,12,
1990 to 1995,066,50-54,17,9,8,22,12,10,
1990 to 1995,066,55-59,15,10,5,14,9,5,
1990 to 1995,066,60-64,9,6,3,7,6,1,
1990 to 1995,066,65-69,7,4,3,5,4,1,
1990 to 1995,066,70-74,6,3,3,7,3,4,
1990 to 1995,066,75-79,1,0,1,2,1,1,
1990 to 1995,066,80-84,1,1,0,1,0,1,
1990 to 1995,066,85-89,1,0,1,1,1,0,
1990 to 1995,066,90+,1,0,1,0,0,0,
1990 to 1995,068,Total,259,152,107,262,146,116,
1990 to 1995,068,0-4,17,11,6,19,9,10,
1990 to 1995,068,5-9,18,10,8,19,10,9,
1990 to 1995,068,10-14,23,13,10,20,10,10,
1990 to 1995,068,15-19,18,10,8,20,9,11,
1990 to 1995,068,20-24,22,13,9,31,17,14,
1990 to 1995,068,25-29,29,15,14,23,14,9,
1990 to 1995,068,30-34,32,16,16,24,12,12,
1990 to 1995,068,35-39,31,18,13,26,14,12,
1990 to 1995,068,40-44,30,19,11,19,12,7,
1990 to 1995,068,45-49,16,10,6,20,11,9,
1990 to 1995,068,50-54,12,8,4,15,9,6,
1990 to 1995,068,55-59,6,5,1,15,10,5,
1990 to 1995,068,60-64,3,3,0,9,7,2,
1990 to 1995,068,65-69,1,0,1,1,1,0,
1990 to 1995,068,70-74,1,1,0,1,1,0,
1990 to 1995,068,75-79,0,0,0,0,0,0,
1990 to 1995,068,80-84,0,0,0,0,0,0,
1990 to 1995,068,85-89,0,0,0,0,0,0,
1990 to 1995,068,90+,0,0,0,0,0,0,
1990 to 1995,070,Total,452,246,206,479,257,222,
1990 to 1995,070,0-4,54,30,24,68,34,34,
1990 to 1995,070,5-9,43,19,24,52,24,28,
1990 to 1995,070,10-14,29,16,13,34,18,16,
1990 to 1995,070,15-19,28,15,13,31,18,13,
1990 to 1995,070,20-24,46,23,23,45,23,22,
1990 to 1995,070,25-29,62,31,31,52,29,23,
1990 to 1995,070,30-34,59,33,26,61,33,28,
1990 to 1995,070,35-39,46,31,15,43,25,18,
1990 to 1995,070,40-44,33,19,14,30,17,13,
1990 to 1995,070,45-49,20,11,9,24,16,8,
1990 to 1995,070,50-54,14,8,6,13,7,6,
1990 to 1995,070,55-59,10,5,5,11,5,6,
1990 to 1995,070,60-64,4,3,1,7,5,2,
1990 to 1995,070,65-69,2,1,1,3,1,2,
1990 to 1995,070,70-74,0,0,0,1,0,1,
1990 to 1995,070,75-79,1,1,0,1,1,0,
1990 to 1995,070,80-84,0,0,0,2,1,1,
1990 to 1995,070,85-89,1,0,1,0,0,0,
1990 to 1995,070,90+,0,0,0,1,0,1,
1990 to 1995,090,Total,9771,5069,4702,10491,5456,5035,
1990 to 1995,090,0-4,1270,625,645,1430,715,715,
1990 to 1995,090,5-9,967,493,474,1071,557,514,
1990 to 1995,090,10-14,717,376,341,795,422,373,
1990 to 1995,090,15-19,577,289,288,680,354,326,
1990 to 1995,090,20-24,1232,598,634,1167,571,596,
1990 to 1995,090,25-29,1404,716,688,1308,652,656,
1990 to 1995,090,30-34,1222,642,580,1220,623,597,
1990 to 1995,090,35-39,897,486,411,987,523,464,
1990 to 1995,090,40-44,570,332,238,675,386,289,
1990 to 1995,090,45-49,347,206,141,426,249,177,
1990 to 1995,090,50-54,216,120,96,257,143,114,
1990 to 1995,090,55-59,128,73,55,186,104,82,
1990 to 1995,090,60-64,82,48,34,129,74,55,
1990 to 1995,090,65-69,57,31,26,73,38,35,
1990 to 1995,090,70-74,35,15,20,39,21,18,
1990 to 1995,090,75-79,23,10,13,21,11,10,
1990 to 1995,090,80-84,15,6,9,14,8,6,
1990 to 1995,090,85-89,8,3,5,9,4,5,
1990 to 1995,090,90+,4,0,4,4,1,3,
1990 to 1995,100,Total,350,188,162,334,182,152,
1990 to 1995,100,0-4,36,21,15,34,19,15,
1990 to 1995,100,5-9,29,14,15,28,14,14,
1990 to 1995,100,10-14,29,15,14,21,10,11,
1990 to 1995,100,15-19,25,14,11,27,15,12,
1990 to 1995,100,20-24,29,14,15,38,21,17,
1990 to 1995,100,25-29,34,19,15,30,15,15,
1990 to 1995,100,30-34,35,16,19,30,16,14,
1990 to 1995,100,35-39,39,21,18,33,19,14,
1990 to 1995,100,40-44,30,16,14,29,15,14,
1990 to 1995,100,45-49,25,15,10,21,14,7,
1990 to 1995,100,50-54,14,8,6,13,7,6,
1990 to 1995,100,55-59,8,5,3,11,6,5,
1990 to 1995,100,60-64,6,3,3,6,4,2,
1990 to 1995,100,65-69,8,5,3,3,2,1,
1990 to 1995,100,70-74,2,1,1,5,4,1,
1990 to 1995,100,75-79,1,1,0,3,1,2,
1990 to 1995,100,80-84,0,0,0,1,0,1,
1990 to 1995,100,85-89,0,0,0,1,0,1,
1990 to 1995,100,90+,0,0,0,0,0,0,
1990 to 1995,105,Total,334,190,144,339,194,145,
1990 to 1995,105,0-4,39,19,20,34,17,17,
1990 to 1995,105,5-9,28,18,10,31,16,15,
1990 to 1995,105,10-14,25,14,11,24,14,10,
1990 to 1995,105,15-19,18,9,9,29,14,15,
1990 to 1995,105,20-24,31,18,13,36,20,16,
1990 to 1995,105,25-29,31,18,13,30,18,12,
1990 to 1995,105,30-34,41,25,16,38,26,12,
1990 to 1995,105,35-39,33,19,14,32,18,14,
1990 to 1995,105,40-44,32,18,14,26,16,10,
1990 to 1995,105,45-49,22,14,8,19,10,9,
1990 to 1995,105,50-54,12,6,6,12,7,5,
1990 to 1995,105,55-59,10,6,4,10,6,4,
1990 to 1995,105,60-64,8,5,3,8,6,2,
1990 to 1995,105,65-69,2,1,1,2,1,1,
1990 to 1995,105,70-74,1,0,1,3,2,1,
1990 to 1995,105,75-79,1,0,1,2,1,1,
1990 to 1995,105,80-84,0,0,0,2,1,1,
1990 to 1995,105,85-89,0,0,0,1,1,0,
1990 to 1995,105,90+,0,0,0,0,0,0,
1990 to 1995,110,Total,3174,1682,1492,3163,1696,1467,
1990 to 1995,110,0-4,291,146,145,284,136,148,
1990 to 1995,110,5-9,245,127,118,235,128,107,
1990 to 1995,110,10-14,217,109,108,223,117,106,
1990 to 1995,110,15-19,201,97,104,237,121,116,
1990 to 1995,110,20-24,337,176,161,348,180,168,
1990 to 1995,110,25-29,418,233,185,344,192,152,
1990 to 1995,110,30-34,388,209,179,333,186,147,
1990 to 1995,110,35-39,323,177,146,315,177,138,
1990 to 1995,110,40-44,288,156,132,277,153,124,
1990 to 1995,110,45-49,179,101,78,195,106,89,
1990 to 1995,110,50-54,110,60,50,136,71,65,
1990 to 1995,110,55-59,63,35,28,94,55,39,
1990 to 1995,110,60-64,34,21,13,52,31,21,
1990 to 1995,110,65-69,28,15,13,35,17,18,
1990 to 1995,110,70-74,20,9,11,22,10,12,
1990 to 1995,110,75-79,13,5,8,17,7,10,
1990 to 1995,110,80-84,10,4,6,9,4,5,
1990 to 1995,110,85-89,5,1,4,5,4,1,
1990 to 1995,110,90+,4,1,3,2,1,1,
1990 to 1995,122,Total,5223,2834,2389,4790,2653,2137,
1990 to 1995,122,0-4,551,267,284,419,211,208,
1990 to 1995,122,5-9,458,238,220,383,195,188,
1990 to 1995,122,10-14,399,204,195,322,166,156,
1990 to 1995,122,15-19,331,179,152,393,195,198,
1990 to 1995,122,20-24,488,263,225,599,326,273,
1990 to 1995,122,25-29,552,304,248,466,275,191,
1990 to 1995,122,30-34,609,340,269,501,285,216,
1990 to 1995,122,35-39,556,317,239,473,279,194,
1990 to 1995,122,40-44,434,257,177,376,227,149,
1990 to 1995,122,45-49,281,165,116,274,164,110,
1990 to 1995,122,50-54,201,109,92,210,119,91,
1990 to 1995,122,55-59,120,67,53,135,78,57,
1990 to 1995,122,60-64,87,49,38,100,58,42,
1990 to 1995,122,65-69,71,36,35,61,38,23,
1990 to 1995,122,70-74,39,19,20,37,17,20,
1990 to 1995,122,75-79,20,10,10,23,11,12,
1990 to 1995,122,80-84,15,6,9,13,7,6,
1990 to 1995,122,85-89,9,3,6,4,2,2,
1990 to 1995,122,90+,2,1,1,1,0,1,
1990 to 1995,130,Total,1806,980,826,1805,975,830,
1990 to 1995,130,0-4,185,86,99,188,96,92,
1990 to 1995,130,5-9,151,81,70,142,68,74,
1990 to 1995,130,10-14,120,60,60,125,61,64,
1990 to 1995,130,15-19,122,63,59,139,72,67,
1990 to 1995,130,20-24,187,99,88,198,101,97,
1990 to 1995,130,25-29,212,116,96,183,100,83,
1990 to 1995,130,30-34,209,123,86,188,109,79,
1990 to 1995,130,35-39,180,102,78,168,95,73,
1990 to 1995,130,40-44,151,88,63,141,80,61,
1990 to 1995,130,45-49,98,50,48,104,62,42,
1990 to 1995,130,50-54,73,47,26,85,49,36,
1990 to 1995,130,55-59,44,26,18,58,36,22,
1990 to 1995,130,60-64,25,15,10,36,21,15,
1990 to 1995,130,65-69,21,11,10,21,11,10,
1990 to 1995,130,70-74,11,6,5,14,8,6,
1990 to 1995,130,75-79,7,4,3,7,2,5,
1990 to 1995,130,80-84,4,1,3,3,2,1,
1990 to 1995,130,85-89,4,1,3,3,1,2,
1990 to 1995,130,90+,2,1,1,2,1,1,
1990 to 1995,150,Total,1990,1125,865,1908,1085,823,
1990 to 1995,150,0-4,230,121,109,235,122,113,
1990 to 1995,150,5-9,190,97,93,172,92,80,
1990 to 1995,150,10-14,137,72,65,128,68,60,
1990 to 1995,150,15-19,109,59,50,114,58,56,
1990 to 1995,150,20-24,191,104,87,173,92,81,
1990 to 1995,150,25-29,271,153,118,237,137,100,
1990 to 1995,150,30-34,307,185,122,259,156,103,
1990 to 1995,150,35-39,218,137,81,212,130,82,
1990 to 1995,150,40-44,131,77,54,139,85,54,
1990 to 1995,150,45-49,82,52,30,91,58,33,
1990 to 1995,150,50-54,42,24,18,52,31,21,
1990 to 1995,150,55-59,32,19,13,35,21,14,
1990 to 1995,150,60-64,19,10,9,24,14,10,
1990 to 1995,150,65-69,14,8,6,20,12,8,
1990 to 1995,150,70-74,8,4,4,7,5,2,
1990 to 1995,150,75-79,7,3,4,5,2,3,
1990 to 1995,150,80-84,1,0,1,3,1,2,
1990 to 1995,150,85-89,0,0,0,1,1,0,
1990 to 1995,150,90+,1,0,1,1,0,1,
1990 to 1995,158,Total,355,197,158,390,210,180,
1990 to 1995,158,0-4,55,30,25,54,33,21,
1990 to 1995,158,5-9,30,15,15,42,21,21,
1990 to 1995,158,10-14,25,11,14,25,10,15,
1990 to 1995,158,15-19,25,14,11,33,17,16,
1990 to 1995,158,20-24,44,23,21,47,23,24,
1990 to 1995,158,25-29,42,24,18,44,23,21,
1990 to 1995,158,30-34,36,21,15,45,27,18,
1990 to 1995,158,35-39,34,18,16,32,16,16,
1990 to 1995,158,40-44,15,9,6,23,13,10,
1990 to 1995,158,45-49,19,13,6,15,9,6,
1990 to 1995,158,50-54,12,8,4,10,6,4,
1990 to 1995,158,55-59,8,5,3,9,5,4,
1990 to 1995,158,60-64,4,3,1,3,2,1,
1990 to 1995,158,65-69,2,1,1,2,1,1,
1990 to 1995,158,70-74,1,0,1,2,1,1,
1990 to 1995,158,75-79,2,1,1,2,1,1,
1990 to 1995,158,80-84,1,1,0,1,1,0,
1990 to 1995,158,85-89,0,0,0,1,1,0,
1990 to 1995,158,90+,0,0,0,0,0,0,
1990 to 1995,164,Total,241,140,101,248,142,106,
1990 to 1995,164,0-4,28,15,13,29,17,12,
1990 to 1995,164,5-9,25,15,10,28,14,14,
1990 to 1995,164,10-14,16,10,6,17,9,8,
1990 to 1995,164,15-19,17,8,9,20,10,10,
1990 to 1995,164,20-24,19,10,9,21,12,9,
1990 to 1995,164,25-29,29,16,13,29,16,13,
1990 to 1995,164,30-34,29,18,11,26,17,9,
1990 to 1995,164,35-39,25,15,10,26,16,10,
1990 to 1995,164,40-44,19,13,6,16,10,6,
1990 to 1995,164,45-49,13,8,5,14,8,6,
1990 to 1995,164,50-54,9,5,4,8,5,3,
1990 to 1995,164,55-59,6,3,3,6,3,3,
1990 to 1995,164,60-64,4,3,1,4,3,1,
1990 to 1995,164,65-69,2,1,1,2,1,1,
1990 to 1995,164,70-74,0,0,0,1,1,0,
1990 to 1995,164,75-79,0,0,0,1,0,1,
1990 to 1995,164,80-84,0,0,0,0,0,0,
1990 to 1995,164,85-89,0,0,0,0,0,0,
1990 to 1995,164,90+,0,0,0,0,0,0,
1990 to 1995,170,Total,6537,3518,3019,5308,2902,2406,
1990 to 1995,170,0-4,726,384,342,502,274,228,
1990 to 1995,170,5-9,630,321,309,452,222,230,
1990 to 1995,170,10-14,576,313,263,415,220,195,
1990 to 1995,170,15-19,429,228,201,471,226,245,
1990 to 1995,170,20-24,536,267,269,629,336,293,
1990 to 1995,170,25-29,687,369,318,487,283,204,
1990 to 1995,170,30-34,789,425,364,553,318,235,
1990 to 1995,170,35-39,696,393,303,520,294,226,
1990 to 1995,170,40-44,495,286,209,409,239,170,
1990 to 1995,170,45-49,338,186,152,298,172,126,
1990 to 1995,170,50-54,223,131,92,209,127,82,
1990 to 1995,170,55-59,145,81,64,122,69,53,
1990 to 1995,170,60-64,105,58,47,91,52,39,
1990 to 1995,170,65-69,75,40,35,61,30,31,
1990 to 1995,170,70-74,37,18,19,42,21,21,
1990 to 1995,170,75-79,23,10,13,19,10,9,
1990 to 1995,170,80-84,14,4,10,14,5,9,
1990 to 1995,170,85-89,8,3,5,9,3,6,
1990 to 1995,170,90+,5,1,4,5,1,4,
1990 to 1995,180,Total,670,379,291,727,415,312,
1990 to 1995,180,0-4,82,43,39,85,42,43,
1990 to 1995,180,5-9,58,33,25,69,38,31,
1990 to 1995,180,10-14,36,21,15,49,26,23,
1990 to 1995,180,15-19,43,23,20,54,31,23,
1990 to 1995,180,20-24,68,39,29,79,45,34,
1990 to 1995,180,25-29,83,45,38,74,43,31,
1990 to 1995,180,30-34,76,45,31,77,47,30,
1990 to 1995,180,35-39,73,42,31,72,44,28,
1990 to 1995,180,40-44,46,30,16,50,30,20,
1990 to 1995,180,45-49,34,20,14,39,24,15,
1990 to 1995,180,50-54,28,15,13,29,16,13,
1990 to 1995,180,55-59,15,9,6,19,12,7,
1990 to 1995,180,60-64,8,4,4,10,5,5,
1990 to 1995,180,65-69,8,5,3,9,6,3,
1990 to 1995,180,70-74,3,3,0,5,3,2,
1990 to 1995,180,75-79,5,1,4,3,1,2,
1990 to 1995,180,80-84,4,1,3,3,1,2,
1990 to 1995,180,85-89,0,0,0,1,1,0,
1990 to 1995,180,90+,0,0,0,0,0,0,
1990 to 1995,185,Total,710,393,317,655,371,284,
1990 to 1995,185,0-4,97,42,55,86,43,43,
1990 to 1995,185,5-9,52,26,26,54,27,27,
1990 to 1995,185,10-14,38,19,19,38,20,18,
1990 to 1995,185,15-19,39,21,18,44,21,23,
1990 to 1995,185,20-24,67,36,31,58,34,24,
1990 to 1995,185,25-29,82,49,33,68,40,28,
1990 to 1995,185,30-34,88,55,33,74,45,29,
1990 to 1995,185,35-39,76,52,24,65,44,21,
1990 to 1995,185,40-44,58,33,25,54,32,22,
1990 to 1995,185,45-49,47,26,21,39,22,17,
1990 to 1995,185,50-54,31,16,15,28,15,13,
1990 to 1995,185,55-59,19,11,8,21,12,9,
1990 to 1995,185,60-64,8,5,3,14,9,5,
1990 to 1995,185,65-69,4,1,3,7,5,2,
1990 to 1995,185,70-74,1,0,1,3,1,2,
1990 to 1995,185,75-79,2,1,1,2,1,1,
1990 to 1995,185,80-84,1,0,1,0,0,0,
1990 to 1995,185,85-89,0,0,0,0,0,0,
1990 to 1995,185,90+,0,0,0,0,0,0,
1990 to 1995,188,Total,548,298,250,594,336,258,
1990 to 1995,188,0-4,73,30,43,83,44,39,
1990 to 1995,188,5-9,45,21,24,54,28,26,
1990 to 1995,188,10-14,38,20,18,40,20,20,
1990 to 1995,188,15-19,33,18,15,46,23,23,
1990 to 1995,188,20-24,54,31,23,58,34,24,
1990 to 1995,188,25-29,71,45,26,69,45,24,
1990 to 1995,188,30-34,67,43,24,70,42,28,
1990 to 1995,188,35-39,47,26,21,56,33,23,
1990 to 1995,188,40-44,35,21,14,37,21,16,
1990 to 1995,188,45-49,31,16,15,28,16,12,
1990 to 1995,188,50-54,21,10,11,23,13,10,
